Force (mN),Length (mm),Distance (mm)
0,4,0
0.4,4,0.146
0.8,4,0.295
1.2,4,0.445
1.6,4,0.596
2,4,0.748
2.4,4,0.901
2.8,4,1.054
3.2,4,1.206
3.6,4,1.358
4,4,1.508
4.4,4,1.657
5,4,1.876
5.6,4,2.09
6,4,2.228
0,5,0
0.4,5,0.298
0.8,5,0.601
1.2,5,0.907
1.6,5,1.213
2,5,1.517
2.4,5,1.818
2.8,5,2.112
3.2,5,2.399
3.6,5,2.676
4,5,2.942
4.4,5,3.195
5,5,3.55
0,6,0
0.4,6,0.531
0.8,6,1.069
1.2,6,1.606
1.6,6,2.133
2,6,2.643
2.4,6,3.129
2.8,6,3.585
3.2,6,4.006
0,8,0
0.1,8,0.323
0.2,8,0.649
0.3,8,0.976
0.4,8,1.304
0.5,8,1.63
0.6,8,1.955
0.7,8,2.276
0.8,8,2.593
0.9,8,2.905
1,8,3.211
1.1,8,3.51
1.2,8,3.801
1.3,8,4.084
1.4,8,4.358
0,10,0
0.1,10,0.646
0.2,10,1.296
0.3,10,1.943
0.4,10,2.583
0.5,10,3.209
0.6,10,3.818
0.7,10,4.404
